id_vaga,job_role,inf_titulo_vaga,inf_cliente,inf_vaga_sap,perfil_nivel_academico,perfil_nivel profissional,perfil_nivel_ingles,perfil_nivel_espanhol,perfil_competencia_tecnicas_e_comportamentais,perfil_principais_atividades
6256,Engenheiro/Analista de Dados,4448285 - Engenheiro de Dados,Miller-Curry,Não,Ensino Superior Completo,Sênior,Nenhum,Nenhum,Engenheiro de Dados,Engenheiro de Dados
6190,Engenheiro/Analista de Dados,4448260 - DATA LAKE,Miller-Curry,Não,Ensino Superior Completo,Sênior,Nenhum,Nenhum,DATA LAKE,DATA LAKE
6187,Engenheiro/Analista de Dados,4448289 - Engenheiro de DAdos,Miller-Curry,Não,Ensino Superior Completo,Sênior,Nenhum,Nenhum,Engenheiro de DAdos,Engenheiro de DAdos
6186,Engenheiro/Analista de Dados,4378406 - Engenheiro de Dados,Miller-Curry,Não,Ensino Superior Completo,Sênior,Nenhum,Nenhum,Engenheiro de Dados,Engenheiro de Dados
6184,Engenheiro/Analista de Dados,4486646 - Programador PL/SQL Senior,Miller-Curry,Não,Ensino Superior Completo,Sênior,Nenhum,Nenhum,Programador PL/SQL Senior,Programador PL/SQL Senior
6181,Engenheiro/Analista de Dados,Data & AI - 12140250,Nelson-Page,Não,Ensino Superior Completo,Analista,Básico,Básico,"Descrição/Comentário: Oracle Financial Consolidation and Close - Lead the effort to design, build and configure applications, acting as the primary point of contact.","Descrição/Comentário: Oracle Financial Consolidation and Close - Lead the effort to design, build and configure applications, acting as the primary point of contact."
6180,Engenheiro/Analista de Dados,Data & AI - 12139806,Nelson-Page,Não,Ensino Superior Completo,Analista,Básico,Básico,"Descrição/Comentário: Oracle Financial Consolidation and Close - Lead the effort to design, build and configure applications, acting as the primary point of contact.","Descrição/Comentário: Oracle Financial Consolidation and Close - Lead the effort to design, build and configure applications, acting as the primary point of contact."
6132,Engenheiro/Analista de Dados,Engenheiro De Dados - 12127585,Nelson-Page,Não,Ensino Superior Completo,Analista,Básico,Básico,"Descrição/Comentário: Engenharia de Dados: SQL, Bancos Relacionais (Teradata, Oracle, SQL Server), Ecossistema Hadoop (Hive, Sqoop, Scala, Spark), Python, ETL","Descrição/Comentário: Engenharia de Dados: SQL, Bancos Relacionais (Teradata, Oracle, SQL Server), Ecossistema Hadoop (Hive, Sqoop, Scala, Spark), Python, ETL"
6126,Engenheiro/Analista de Dados,Banco De Dados - 12128657,Nelson-Page,Não,Ensino Superior Completo,Analista,Avançado,Básico,"Descrição/Comentário: Technology Service Design - Experiência em administração Banco de Dados Oracle, Oracle RAC, Oracle Golden Gate, Shell Scripts, Performance and Tunning em nível Senior;
 Conhecimento em Banco de Dados SQL Server, Mongo DB e DB2;
 Conhecimento em Sistema Operacional Windows, Linux, AIX e Solaris;
 Experiência em Tratamento de incidentes, solicitações de serviços e execução de mudanças de infraestrutura;
 Sistema de monitoramento Zabbix;
 Conhecimento na aplicação de ITIL;
 Experiência de 4 a 5 anos;
 Flexibilidade para trabalhar em turno (finais de semana e fora do horário comercial);
 Inglê Avançado;","Descrição/Comentário: Technology Service Design - Experiência em administração Banco de Dados Oracle, Oracle RAC, Oracle Golden Gate, Shell Scripts, Performance and Tunning em nível Senior;
 Conhecimento em Banco de Dados SQL Server, Mongo DB e DB2;
 Conhecimento em Sistema Operacional Windows, Linux, AIX e Solaris;
 Experiência em Tratamento de incidentes, solicitações de serviços e execução de mudanças de infraestrutura;
 Sistema de monitoramento Zabbix;
 Conhecimento na aplicação de ITIL;
 Experiência de 4 a 5 anos;
 Flexibilidade para trabalhar em turno (finais de semana e fora do horário comercial);
 Inglê Avançado;"
6034,Engenheiro/Analista de Dados,4448288 - Dados,Miller-Curry,Não,Ensino Superior Completo,Sênior,Nenhum,Nenhum,Dados,Dados
